"ville_id","ville_departement","ville_nom","ville_nom_simple","ville_nom_reel","ville_code_postal","ville_code_commune","ville_arrondissement","ville_longitude_deg","ville_latitude_deg"
"252","01","VIRIAT","viriat","Viriat","01440","01451","2","5.21667","46.25"
"253","01","BELLEYDOUX","belleydoux","Belleydoux","01130","01035","4","5.76667","46.25"
"254","01","BAGE-LE-CHATEL","bage le chatel","Bâgé-le-Châtel","01380","01026","2","4.93333","46.3"
"255","01","SAINTE-OLIVE","sainte olive","Sainte-Olive","01330","01382","2","4.93333","46.0167"
"256","01","SAINT-GENIS-SUR-MENTHON","saint genis sur menthon","Saint-Genis-sur-Menthon","01380","01355","2","5.01667","46.2833"
"257","01","DOMSURE","domsure","Domsure","01270","01147","2","5.3","46.4167"
"258","01","CHAVANNES-SUR-SURAN","chavannes sur suran","Chavannes-sur-Suran","01250","01095","2","5.41667","46.2667"
"259","01","PRIAY","priay","Priay","01160","01314","2","5.28333","46"
"260","01","PEYRIEU","peyrieu","Peyrieu","01300","01294","1","5.67751","45.6767"
"261","01","LALLEYRIAT","lalleyriat","Lalleyriat","01130","01204","4","5.71667","46.15"
"262","01","SERGY","sergy","Sergy","01630","01401","3","6","46.25"
"263","01","SAINT-MARTIN-DU-FRENE","saint martin du frene","Saint-Martin-du-Frêne","01430","01373","4","5.55","46.1333"
"264","01","SAINT-MAURICE-DE-BEYNOST","saint maurice de beynost","Saint-Maurice-de-Beynost","01700","01376","2","4.96667","45.8333"
"265","01","SERVAS","servas","Servas","01240","01405","2","5.16667","46.1333"
"266","01","CUZIEU","cuzieu","Cuzieu","01300","01141","1","5.67445","45.8192"
"267","01","JAYAT","jayat","Jayat","01340","01196","2","5.11667","46.3667"
"268","01","LAVOURS","lavours","Lavours","01350","01208","1","5.76667","45.8"
"269","01","CHEVROUX","chevroux","Chevroux","01190","01102","2","4.95","46.3833"
"270","01","POLLIEU","pollieu","Pollieu","01350","01302","1","5.75","45.8"
"271","01","BELIGNEUX","beligneux","Béligneux","01360","01032","2","5.11667","45.8667"
"272","01","BRENAZ","brenaz","Brénaz","01260","01059","1","5.71667","45.95"
"273","01","BENONCES","benonces","Bénonces","01470","01037","1","5.48333","45.8333"
"274","01","SAINT-JEAN-LE-VIEUX","saint jean le vieux","Saint-Jean-le-Vieux","01640","01363","4","5.38917","46.0284"
"275","01","BEAUREGARD","beauregard","Beauregard","01480","01030","2","4.75139","46.002"
"276","01","OYONNAX","oyonnax","Oyonnax","01100","01283","4","5.66667","46.25"
"277","01","MIONNAY","mionnay","Mionnay","01390","01248","2","4.93333","45.9"
"278","01","GERMAGNAT","germagnat","Germagnat","01250","01172","2","5.45","46.3167"
